source_url,source_type,breed,guide_url,guide_category,reason,contextual_relevance
/breeds/maltipoo,BREED,Maltipoo,/guides/choosing-the-right-breed,Getting Started,"comparing temperament, energy, and coat commitments",high
/breeds/maltipoo,BREED,Maltipoo,/guides/puppy-training-basics,Training,early training and socialisation foundations,medium
/breeds/maltipoo,BREED,Maltipoo,/guides/questions-to-ask,Guidance,questions to ask about parents and early life,high
/breeds/poodle,BREED,Poodle,/guides/choosing-the-right-breed,Getting Started,matching a companion breed to the household,high
/breeds/poodle,BREED,Poodle,/guides/health-and-care,Health,early veterinary care and everyday wellbeing,medium
/breeds/poodle,BREED,Poodle,/guides/questions-to-ask,Guidance,evidence and documentation questions,high
/breeds/pomeranian,BREED,Pomeranian,/guides/choosing-the-right-breed,Getting Started,breed selection and lifestyle fit,high
/breeds/pomeranian,BREED,Pomeranian,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/breeds/pomeranian,BREED,Pomeranian,/guides/preparing-for-a-puppy,Preparation,practical preparation for bringing home a puppy,medium
/breeds/yorkie,BREED,Yorkshire Terrier,/guides/choosing-the-right-breed,Getting Started,breed selection and lifestyle fit,high
/breeds/yorkie,BREED,Yorkshire Terrier,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/breeds/yorkie,BREED,Yorkshire Terrier,/guides/preparing-for-a-puppy,Preparation,practical preparation for bringing home a puppy,medium
/breeds/pomsky,BREED,Pomsky,/guides/choosing-the-right-breed,Getting Started,"comparing temperament, energy, and coat commitments",high
/breeds/pomsky,BREED,Pomsky,/guides/puppy-training-basics,Training,early training and socialisation foundations,medium
/breeds/pomsky,BREED,Pomsky,/guides/questions-to-ask,Guidance,questions to ask about parents and early life,high
/breeds/maltese,BREED,Maltese,/guides/choosing-the-right-breed,Getting Started,breed selection and lifestyle fit,high
/breeds/maltese,BREED,Maltese,/guides/questions-to-ask,Guidance,questions to ask before viewing or committing,high
/breeds/maltese,BREED,Maltese,/guides/preparing-for-a-puppy,Preparation,practical preparation for bringing home a puppy,medium
/breeds/coton-de-tulear,BREED,Coton de Tuléar,/guides/choosing-the-right-breed,Getting Started,matching a companion breed to the household,high
/breeds/coton-de-tulear,BREED,Coton de Tuléar,/guides/health-and-care,Health,early veterinary care and everyday wellbeing,medium
/breeds/coton-de-tulear,BREED,Coton de Tuléar,/guides/questions-to-ask,Guidance,evidence and documentation questions,high
/breeds/morkie,BREED,Morkie,/guides/choosing-the-right-breed,Getting Started,"comparing temperament, energy, and coat commitments",high
/breeds/morkie,BREED,Morkie,/guides/puppy-training-basics,Training,early training and socialisation foundations,medium
/breeds/morkie,BREED,Morkie,/guides/questions-to-ask,Guidance,questions to ask about parents and early life,high
/breeds/doodle,BREED,Doodle,/guides/choosing-the-right-breed,Getting Started,"comparing temperament, energy, and coat commitments",high
