listing_id,url,slug,breed,current_status,title,h1,description_length,description_unique,canonical,robots_indexability,sitemap_inclusion,incoming_internal_links,breed_page_relationship,puppies_hub_relationship,enquiry_cta,images,alt_text,schema,duplicate_risk,soft_404_risk,classification
lulu-female-1,https://www.pottyregisteredpuppies.com/puppies/lulu-female-1,lulu-female-1,Maltipoo,Available,"Lulu — Maltipoo Puppy | Female, 12 weeks | Potty Registered Puppies",Lulu,271,YES,https://www.pottyregisteredpuppies.com/puppies/lulu-female-1,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
oscar-male-7,https://www.pottyregisteredpuppies.com/puppies/oscar-male-7,oscar-male-7,Pomsky,Available,"Oscar — Pomsky Puppy | Male, 12 weeks | Potty Registered Puppies",Oscar,269,YES,https://www.pottyregisteredpuppies.com/puppies/oscar-male-7,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
diana-female-10,https://www.pottyregisteredpuppies.com/puppies/diana-female-10,diana-female-10,Pomeranian,Available,"Diana — Pomeranian Puppy | Female, 12 weeks | Potty Registered Puppies",Diana,261,YES,https://www.pottyregisteredpuppies.com/puppies/diana-female-10,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
toffee-male-1,https://www.pottyregisteredpuppies.com/puppies/toffee-male-1,toffee-male-1,Poodle,Available,"Latte — Poodle Puppy | Male, 12 weeks | Potty Registered Puppies",Latte,269,YES,https://www.pottyregisteredpuppies.com/puppies/toffee-male-1,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
theo-male-4,https://www.pottyregisteredpuppies.com/puppies/theo-male-4,theo-male-4,Pomeranian,Available,"Theo — Pomeranian Puppy | Male, 12 weeks | Potty Registered Puppies",Theo,262,YES,https://www.pottyregisteredpuppies.com/puppies/theo-male-4,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
diana-female-9,https://www.pottyregisteredpuppies.com/puppies/diana-female-9,diana-female-9,Pomeranian,Available,"Diana — Pomeranian Puppy | Female, 12 weeks | Potty Registered Puppies",Diana,266,YES,https://www.pottyregisteredpuppies.com/puppies/diana-female-9,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
giselle-female-1,https://www.pottyregisteredpuppies.com/puppies/giselle-female-1,giselle-female-1,Maltipom,Available,"Giselle — Maltipom Puppy | Female, 12 weeks | Potty Registered Puppies",Giselle,265,YES,https://www.pottyregisteredpuppies.com/puppies/giselle-female-1,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
jessie-female-3,https://www.pottyregisteredpuppies.com/puppies/jessie-female-3,jessie-female-3,Maltipoo,Available,"Jessie — Maltipoo Puppy | Female, 12 weeks | Potty Registered Puppies",Jessie,269,YES,https://www.pottyregisteredpuppies.com/puppies/jessie-female-3,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
amber-female-6,https://www.pottyregisteredpuppies.com/puppies/amber-female-6,amber-female-6,Poodle,Available,"Amber — Poodle Puppy | Female, 12 weeks | Potty Registered Puppies",Amber,262,YES,https://www.pottyregisteredpuppies.com/puppies/amber-female-6,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
berry-female-4,https://www.pottyregisteredpuppies.com/puppies/berry-female-4,berry-female-4,Poodle,Available,"Berry — Poodle Puppy | Female, 12 weeks | Potty Registered Puppies",Berry,262,YES,https://www.pottyregisteredpuppies.com/puppies/berry-female-4,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
lily-female-1,https://www.pottyregisteredpuppies.com/puppies/lily-female-1,lily-female-1,Yorkie,Available,"Lily — Yorkie Puppy | Female, 20 weeks | Potty Registered Puppies",Lily,269,YES,https://www.pottyregisteredpuppies.com/puppies/lily-female-1,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
arlo-male-6,https://www.pottyregisteredpuppies.com/puppies/arlo-male-6,arlo-male-6,Poodle,Available,"Arlo — Poodle Puppy | Male, 16 weeks | Potty Registered Puppies",Arlo,258,YES,https://www.pottyregisteredpuppies.com/puppies/arlo-male-6,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
thor-male-3,https://www.pottyregisteredpuppies.com/puppies/thor-male-3,thor-male-3,Pomeranian,Available,"Thor — Pomeranian Puppy | Male, 12 weeks | Potty Registered Puppies",Thor,257,YES,https://www.pottyregisteredpuppies.com/puppies/thor-male-3,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
toby-male-12,https://www.pottyregisteredpuppies.com/puppies/toby-male-12,toby-male-12,Mauzer,Available,"Toby — Mauzer Puppy | Male, 12 weeks | Potty Registered Puppies",Toby,266,YES,https://www.pottyregisteredpuppies.com/puppies/toby-male-12,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
toffee-male,https://www.pottyregisteredpuppies.com/puppies/toffee-male,toffee-male,Poodle,Available,"Toffee — Poodle Puppy | Male, 12 weeks | Potty Registered Puppies",Toffee,271,YES,https://www.pottyregisteredpuppies.com/puppies/toffee-male,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
austin-male-7,https://www.pottyregisteredpuppies.com/puppies/austin-male-7,austin-male-7,Maltipoo,Available,"Austin — Maltipoo Puppy | Male, 12 weeks | Potty Registered Puppies",Austin,267,YES,https://www.pottyregisteredpuppies.com/puppies/austin-male-7,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
agatha-female-7,https://www.pottyregisteredpuppies.com/puppies/agatha-female-7,agatha-female-7,Poodle,Available,"Agatha — Poodle Puppy | Female, 12 weeks | Potty Registered Puppies",Agatha,268,YES,https://www.pottyregisteredpuppies.com/puppies/agatha-female-7,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
agatha-female-6,https://www.pottyregisteredpuppies.com/puppies/agatha-female-6,agatha-female-6,Poodle,Available,"Agatha — Poodle Puppy | Female, 12 weeks | Potty Registered Puppies",Agatha,264,YES,https://www.pottyregisteredpuppies.com/puppies/agatha-female-6,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
grace-female-4,https://www.pottyregisteredpuppies.com/puppies/grace-female-4,grace-female-4,Maltese,Available,"Grace — Maltese Puppy | Female, 20 weeks | Potty Registered Puppies",Grace,260,YES,https://www.pottyregisteredpuppies.com/puppies/grace-female-4,YES,YES,2,VALID,VALID,YES,VALID,YES,BreadcrumbList + Product,NO,NO,STRONG_INDEXABLE
