breed,current_route,puppies_available,content_depth,commercial_value,content_gap,priority,recommended_action
Poodle,/breeds/poodle,111,"Existing summary, traits, temperament and care",High,"UK-specific proof, trust detail and unique buyer guidance",P0,"Upgrade existing route; add UK commercial copy, inventory context and supported schema."
Pomeranian,/breeds/pomeranian,67,"Existing summary, traits, temperament and care",High,"UK-specific proof, trust detail and unique buyer guidance",P0,"Upgrade existing route; add UK commercial copy, inventory context and supported schema."
Yorkshire Terrier,/breeds/yorkie,24,"Existing summary, traits, temperament and care",High,"UK-specific proof, trust detail and unique buyer guidance",P0,"Upgrade existing route; add UK commercial copy, inventory context and supported schema."
Pomsky,/breeds/pomsky,20,"Existing summary, traits, temperament and care",High,"UK-specific proof, trust detail and unique buyer guidance",P0,"Upgrade existing route; add UK commercial copy, inventory context and supported schema."
Maltese,/breeds/maltese,17,"Existing summary, traits, temperament and care",High,"UK-specific proof, trust detail and unique buyer guidance",P0,"Upgrade existing route; add UK commercial copy, inventory context and supported schema."
Coton de Tul\u00e9ar,/breeds/coton-de-tulear,16,"Existing summary, traits, temperament and care",High,"UK-specific proof, trust detail and unique buyer guidance",P1,"Upgrade existing route; add UK commercial copy, inventory context and supported schema."
Doodle,/breeds/doodle,6,"Existing summary, traits, temperament and care",High,"UK-specific proof, trust detail and unique buyer guidance",P1,"Upgrade existing route; add UK commercial copy, inventory context and supported schema."
Maltipom,/breeds/maltipom,5,"Existing summary, traits, temperament and care",High,"UK-specific proof, trust detail and unique buyer guidance",P1,"Upgrade existing route; add UK commercial copy, inventory context and supported schema."
Biewer Terrier,/breeds/biewer-terrier,4,"Existing summary, traits, temperament and care",High,"UK-specific proof, trust detail and unique buyer guidance",P1,"Upgrade existing route; add UK commercial copy, inventory context and supported schema."
Maltitzu,/breeds/maltitzu,4,"Existing summary, traits, temperament and care",High,"UK-specific proof, trust detail and unique buyer guidance",P1,"Upgrade existing route; add UK commercial copy, inventory context and supported schema."
Morkie,/breeds/morkie,4,"Existing summary, traits, temperament and care",High,"UK-specific proof, trust detail and unique buyer guidance",P2,"Upgrade existing route; add UK commercial copy, inventory context and supported schema."
Bichon Fris\u00e9,/breeds/bichon-frise,3,"Existing summary, traits, temperament and care",High,"UK-specific proof, trust detail and unique buyer guidance",P2,"Upgrade existing route; add UK commercial copy, inventory context and supported schema."
Miniature Schnauzer,/breeds/mini-schnauzer,3,"Existing summary, traits, temperament and care",High,"UK-specific proof, trust detail and unique buyer guidance",P2,"Upgrade existing route; add UK commercial copy, inventory context and supported schema."
Cavalier King Charles Spaniel,/breeds/king-charles,2,"Existing summary, traits, temperament and care",High,"UK-specific proof, trust detail and unique buyer guidance",P2,"Upgrade existing route; add UK commercial copy, inventory context and supported schema."
Chihuahua,/breeds/chihuahua,2,"Existing summary, traits, temperament and care",High,"UK-specific proof, trust detail and unique buyer guidance",P2,"Upgrade existing route; add UK commercial copy, inventory context and supported schema."
