url,http_status,final_url,redirect_chain,robots_directive,canonical,canonical_count,title,meta_description,h1,content_available,incoming_internal_links,internal_outgoing_links,schema,sitemap_membership,crawl_depth,indexability
/,200,https://www.pottyregisteredpuppies.com/,,"default index,follow",https://www.pottyregisteredpuppies.com,1,Potty Registered Puppies | Teacup & Toy Puppies for Sale in the UK,"Browse teacup and toy puppies listed in the UK. Potty Registered Puppies helps families compare breeds, read practical buyer guides, and make an informed enquiry.",Find the right puppy for your family,YES,0,42,Organization|WebSite,YES,0,INDEXABLE
/about,200,https://www.pottyregisteredpuppies.com/about,,"default index,follow",https://www.pottyregisteredpuppies.com/about,1,About Us | Potty Registered Puppies UK,"Potty Registered Puppies is a UK puppy marketplace helping families explore teacup and toy puppies, understand breed differences, and make an informed enquiry.",A considered way to find your companion in the UK,YES,4,15,Organization|WebSite,YES,1,INDEXABLE
/breeds,200,https://www.pottyregisteredpuppies.com/breeds,,"default index,follow",https://www.pottyregisteredpuppies.com/breeds,1,Dog Breed Profiles | Potty Registered Puppies UK,"Explore breed profiles for teacup and toy dogs available in the UK — covering temperament, care needs, and what to expect — to help you find the right match for your home.",Breed library,YES,2,30,Organization|WebSite,YES,1,INDEXABLE
/breeds/bichon-frise,200,https://www.pottyregisteredpuppies.com/breeds/bichon-frise,,"default index,follow",https://www.pottyregisteredpuppies.com/breeds/bichon-frise,1,Bichon Frisé Puppies for Sale UK | Potty Registered Puppies,"Powder-puff soft and endlessly cheerful, the Bichon Frisé is a gentle, hypoallergenic companion much loved across the UK for its playful nature and easy-going temperament. Find Bichon Frisé puppies for sale in the UK at Potty Registered Puppies.",Bichon Frisé,YES,4,21,Organization|WebSite|BreadcrumbList|WebPage,YES,1,INDEXABLE
/breeds/biewer-terrier,200,https://www.pottyregisteredpuppies.com/breeds/biewer-terrier,,"default index,follow",https://www.pottyregisteredpuppies.com/breeds/biewer-terrier,1,Biewer Terrier Puppies for Sale UK | Potty Registered Puppies,"A rare tri-coloured toy terrier originating from Germany, the Biewer Terrier is a charming, devoted companion growing in popularity across the UK for its unique beauty. Find Biewer Terrier puppies for sale in the UK at Potty Registered Puppies.",Biewer Terrier,YES,5,23,Organization|WebSite|BreadcrumbList|WebPage,YES,1,INDEXABLE
/breeds/chihuahua,200,https://www.pottyregisteredpuppies.com/breeds/chihuahua,,"default index,follow",https://www.pottyregisteredpuppies.com/breeds/chihuahua,1,Chihuahua Puppies for Sale UK | Potty Registered Puppies,"The world&#x27;s smallest breed, Chihuahuas are feisty, fiercely loyal companions with a surprisingly bold personality — increasingly popular across the UK for their compact size and character. Find Chihuahua puppies for sale in the UK at Potty Registered Puppies.",Chihuahua,YES,2,20,Organization|WebSite|BreadcrumbList|WebPage,YES,1,INDEXABLE
/breeds/coton-de-tulear,200,https://www.pottyregisteredpuppies.com/breeds/coton-de-tulear,,"default index,follow",https://www.pottyregisteredpuppies.com/breeds/coton-de-tulear,1,Coton de Tuléar Puppies for Sale UK | Potty Registered Puppies,"Named for their cotton-soft coat, Cotons are joyful, clownish companions originally bred for royalty — now cherished by families across the UK for their sunny disposition. Find Coton de Tuléar puppies for sale in the UK at Potty Registered Puppies.",Coton de Tuléar,YES,18,35,Organization|WebSite|BreadcrumbList|WebPage,YES,1,INDEXABLE
/breeds/dachshund,200,https://www.pottyregisteredpuppies.com/breeds/dachshund,,"default index,follow",https://www.pottyregisteredpuppies.com/breeds/dachshund,1,Dachshund Puppies for Sale UK | Potty Registered Puppies,"Brave, curious, and full of character, Dachshunds are one of the UK&#x27;s most iconic breeds — their long body and lively spirit make them unforgettable companions. Find Dachshund puppies for sale in the UK at Potty Registered Puppies.",Dachshund,YES,2,19,Organization|WebSite|BreadcrumbList|WebPage,YES,1,INDEXABLE
/breeds/doodle,200,https://www.pottyregisteredpuppies.com/breeds/doodle,,"default index,follow",https://www.pottyregisteredpuppies.com/breeds/doodle,1,Doodle Puppies for Sale UK | Potty Registered Puppies,"Doodles — crosses of Poodles with other beloved breeds — are celebrated for their friendly temperament, low-shedding coat, and adaptability to UK family life. Find Doodle puppies for sale in the UK at Potty Registered Puppies.",Doodle,YES,5,24,Organization|WebSite|BreadcrumbList|WebPage,YES,1,INDEXABLE
/breeds/frenchie,200,https://www.pottyregisteredpuppies.com/breeds/frenchie,,"default index,follow",https://www.pottyregisteredpuppies.com/breeds/frenchie,1,French Bulldog Puppies for Sale UK | Potty Registered Puppies,"Charming and easygoing, French Bulldogs are compact companions well suited to apartment living and relaxed UK households — one of the nation&#x27;s most beloved breeds. Find French Bulldog puppies for sale in the UK at Potty Registered Puppies.",French Bulldog,YES,5,20,Organization|WebSite|BreadcrumbList|WebPage,YES,1,INDEXABLE
