breed,slug,route,content_depth,available_puppies_relationship,internal_links,seo_metadata,commercial_intent,informational_intent
Poodle,poodle,/breeds/poodle,~52 words in summary/care + traits,111 matching records,"hub, footer, puppy cards, related pages",dynamic title and description,{breed} puppies for sale UK,"temperament, care and suitability"
Pomeranian,pomeranian,/breeds/pomeranian,~55 words in summary/care + traits,67 matching records,"hub, footer, puppy cards, related pages",dynamic title and description,{breed} puppies for sale UK,"temperament, care and suitability"
Yorkshire Terrier,yorkie,/breeds/yorkie,~49 words in summary/care + traits,24 matching records,"hub, footer, puppy cards, related pages",dynamic title and description,{breed} puppies for sale UK,"temperament, care and suitability"
Pomsky,pomsky,/breeds/pomsky,~46 words in summary/care + traits,20 matching records,"hub, footer, puppy cards, related pages",dynamic title and description,{breed} puppies for sale UK,"temperament, care and suitability"
Maltese,maltese,/breeds/maltese,~55 words in summary/care + traits,17 matching records,"hub, footer, puppy cards, related pages",dynamic title and description,{breed} puppies for sale UK,"temperament, care and suitability"
Coton de Tul\u00e9ar,coton-de-tulear,/breeds/coton-de-tulear,~58 words in summary/care + traits,16 matching records,"hub, footer, puppy cards, related pages",dynamic title and description,{breed} puppies for sale UK,"temperament, care and suitability"
Doodle,doodle,/breeds/doodle,~46 words in summary/care + traits,6 matching records,"hub, footer, puppy cards, related pages",dynamic title and description,{breed} puppies for sale UK,"temperament, care and suitability"
Maltipom,maltipom,/breeds/maltipom,~46 words in summary/care + traits,5 matching records,"hub, footer, puppy cards, related pages",dynamic title and description,{breed} puppies for sale UK,"temperament, care and suitability"
Biewer Terrier,biewer-terrier,/breeds/biewer-terrier,~47 words in summary/care + traits,4 matching records,"hub, footer, puppy cards, related pages",dynamic title and description,{breed} puppies for sale UK,"temperament, care and suitability"
Maltitzu,maltitzu,/breeds/maltitzu,~53 words in summary/care + traits,4 matching records,"hub, footer, puppy cards, related pages",dynamic title and description,{breed} puppies for sale UK,"temperament, care and suitability"
Morkie,morkie,/breeds/morkie,~51 words in summary/care + traits,4 matching records,"hub, footer, puppy cards, related pages",dynamic title and description,{breed} puppies for sale UK,"temperament, care and suitability"
Bichon Fris\u00e9,bichon-frise,/breeds/bichon-frise,~47 words in summary/care + traits,3 matching records,"hub, footer, puppy cards, related pages",dynamic title and description,{breed} puppies for sale UK,"temperament, care and suitability"
Miniature Schnauzer,mini-schnauzer,/breeds/mini-schnauzer,~49 words in summary/care + traits,3 matching records,"hub, footer, puppy cards, related pages",dynamic title and description,{breed} puppies for sale UK,"temperament, care and suitability"
Cavalier King Charles Spaniel,king-charles,/breeds/king-charles,~52 words in summary/care + traits,2 matching records,"hub, footer, puppy cards, related pages",dynamic title and description,{breed} puppies for sale UK,"temperament, care and suitability"
Chihuahua,chihuahua,/breeds/chihuahua,~56 words in summary/care + traits,2 matching records,"hub, footer, puppy cards, related pages",dynamic title and description,{breed} puppies for sale UK,"temperament, care and suitability"
Dachshund,dachshund,/breeds/dachshund,~56 words in summary/care + traits,2 matching records,"hub, footer, puppy cards, related pages",dynamic title and description,{breed} puppies for sale UK,"temperament, care and suitability"
French Bulldog,frenchie,/breeds/frenchie,~45 words in summary/care + traits,2 matching records,"hub, footer, puppy cards, related pages",dynamic title and description,{breed} puppies for sale UK,"temperament, care and suitability"
Biewer Terrier,biwer-terrier,/breeds/biwer-terrier,~47 words in summary/care + traits,1 matching records,"hub, footer, puppy cards, related pages",dynamic title and description,{breed} puppies for sale UK,"temperament, care and suitability"
Cavalier King Charles Spaniel,cavalier,/breeds/cavalier,~52 words in summary/care + traits,1 matching records,"hub, footer, puppy cards, related pages",dynamic title and description,{breed} puppies for sale UK,"temperament, care and suitability"
Mame Shiba Inu,mame-shiba,/breeds/mame-shiba,~52 words in summary/care + traits,1 matching records,"hub, footer, puppy cards, related pages",dynamic title and description,{breed} puppies for sale UK,"temperament, care and suitability"
Mauzer,mauzer,/breeds/mauzer,~49 words in summary/care + traits,1 matching records,"hub, footer, puppy cards, related pages",dynamic title and description,{breed} puppies for sale UK,"temperament, care and suitability"
Pomapoo,pomapoo,/breeds/pomapoo,~50 words in summary/care + traits,1 matching records,"hub, footer, puppy cards, related pages",dynamic title and description,{breed} puppies for sale UK,"temperament, care and suitability"
Pug,pug,/breeds/pug,~47 words in summary/care + traits,1 matching records,"hub, footer, puppy cards, related pages",dynamic title and description,{breed} puppies for sale UK,"temperament, care and suitability"
Shih Tzu,shih-zhu,/breeds/shih-zhu,~50 words in summary/care + traits,1 matching records,"hub, footer, puppy cards, related pages",dynamic title and description,{breed} puppies for sale UK,"temperament, care and suitability"
