url,route_file,page_type,status,title,meta,h1,canonical,robots,schema,internal_links_in,internal_links_out,word_count,indexable,seo_role,issues
/,app/page.tsx,HOME,200,Potty Registered Puppies | Teacup & Toy Puppies for Sale in the UK,UK teacup and toy puppy marketplace description,Find the right puppy for your family,https://www.pottyregisteredpuppies.com/,default,None,many,puppies; breeds; guides; about; contact CTA,~520,YES,Market hub / brand homepage,Contact CTA points to missing route; no JSON-LD; search widget has stale US values.
/puppies,app/puppies/page.tsx,PUPPIES HUB,200,Teacup & Toy Puppies for Sale UK | Potty Registered Puppies,UK browse/filter description,Puppies for Sale in the UK,https://www.pottyregisteredpuppies.com/puppies,default,None,home; header; footer; breed pages,puppy listings; breeds; home,~150,YES,Commercial category hub,No pagination; client-only filters; no ItemList/Product schema.
/puppies/[slug],app/puppies/[slug]/page.tsx,PUPPY DETAIL,200 valid / 404 invalid,{name} — {breed} Puppy for Sale in the UK | Potty Registered Puppies,Dynamic name/breed/age/sex/colour description,{name},https://www.pottyregisteredpuppies.com/puppies/{slug},default,None,home; hub; breed pages; related listings,hub; breed detail; related listings,~230,YES valid / NO invalid,Real puppy listing,No Product/Offer schema; nullable price; no seller/health/location fields.
/breeds,app/breeds/page.tsx,BREED HUB,200,Dog Breed Profiles | Potty Registered Puppies UK,Breed library description,Breed library,https://www.pottyregisteredpuppies.com/breeds,default,None,home; header; footer; puppy pages,breed detail pages,~170,YES,Breed discovery hub,24 records; duplicate Biewer routes; no schema.
/breeds/[slug],app/breeds/[slug]/page.tsx,BREED DETAIL,200 valid / 404 invalid,{breed} Puppies for Sale UK | Potty Registered Puppies,Breed summary and inventory description,{breed},https://www.pottyregisteredpuppies.com/breeds/{slug},default,None,home; breeds hub; puppies; related listings,breed hub; listings; home,~300 + cards,YES valid / NO invalid,Breed commercial page,Duplicate Biewer/Cavalier aliases; no BreadcrumbList/Article/Product schema.
/guides,app/guides/page.tsx,GUIDE HUB,200,Puppy Buyer Guide UK | Potty Registered Puppies,UK buyer guide description,Buyer guide,https://www.pottyregisteredpuppies.com/guides,default,None,home; header; footer,guide articles,~160,YES,Supporting content hub,Only four broad guides; no Article schema.
/guides/[slug],app/guides/[slug]/page.tsx,GUIDE ARTICLE,200 valid / 404 invalid,{guide title} | Potty Registered Puppies,Guide excerpt,{guide title},https://www.pottyregisteredpuppies.com/guides/{slug},default,None,guides hub; home; footer,guides hub; puppies; contact,~500,YES valid / NO invalid,Informational support,Article copy is generic; no Article schema.
/about,app/about/page.tsx,ABOUT,200,About Us | Potty Registered Puppies UK,UK marketplace/trust description,A trusted way to find your companion in the UK,https://www.pottyregisteredpuppies.com/about,default,None,header; footer; home CTA,home; puppies; contact,~330,YES,Trust/support,Healthy/responsible/trusted claims lack visible evidence.
/contact,missing route,CONTACT,404,N/A,N/A,N/A,N/A,default,None,header; footer; home; about; guides,N/A,0,NO,Trust/support,Internally linked but not implemented.
/sitemap.xml,missing route,OTHER,404,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,0,NO,Technical,No sitemap route or public file.
/robots.txt,missing route,OTHER,404,N/A,N/A,N/A,N/A,N/A,None,N/A,N/A,0,NO,Technical,No robots route or public file.
